Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
30/04/2024,,"94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","94,10","0,00","0,00","94,10","94,10","94,10","94,10"
01/05/2024,,"89,43","89,78","88,02","89,78","89,78","89,78","89,78","89,78","88,02","89,78","89,78","88,02","89,78","88,02","89,78","89,78","0,00","0,00","88,02","89,78","88,02","89,78"
02/05/2024,,"73,99","79,53","62,88","79,53","59,46","79,53","73,14","79,53","62,88","79,53","59,46","62,88","79,53","62,88","79,53","79,53","0,00","0,00","62,88","73,14","62,88","79,53"
03/05/2024,,"72,89","80,02","49,26","80,02","58,61","80,02","80,02","80,02","49,26","80,02","58,61","49,26","80,02","49,26","80,02","80,02","0,00","0,00","49,26","80,02","49,26","80,02"
04/05/2024,,"78,11","78,16","78,16","78,16","77,60","78,16","78,16","78,16","78,16","78,16","77,60","78,16","78,16","78,16","78,16","78,16","0,00","0,00","78,16","78,16","78,16","78,16"
05/05/2024,,"65,01","63,80","67,70","67,70","67,70","67,70","67,70","63,80","67,70","63,80","67,70","67,70","63,80","67,70","63,80","63,80","0,00","0,00","67,70","67,70","67,70","63,80"
06/05/2024,,"105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","105,90","0,00","0,00","105,90","105,90","105,90","105,90"
07/05/2024,,"105,04","105,04","105,15","105,15","105,15","105,15","105,15","105,04","105,15","105,04","105,15","105,15","105,04","105,15","105,04","105,04","0,00","0,00","105,15","105,15","105,15","105,04"
08/05/2024,,"100,99","101,00","101,13","101,13","101,13","101,13","101,13","101,00","101,13","101,00","101,13","101,13","101,00","101,13","101,00","101,00","0,00","0,00","101,13","101,13","101,13","101,00"
09/05/2024,,"89,27","89,34","89,51","89,34","89,34","89,34","89,34","89,34","89,34","89,34","89,34","89,51","89,34","89,34","89,34","89,34","0,00","0,00","89,51","89,34","89,34","89,34"
10/05/2024,,"81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","81,21","0,00","0,00","81,21","81,21","81,21","81,21"
11/05/2024,,"76,42","76,13","77,30","77,30","76,58","77,30","77,30","76,13","77,30","76,13","76,58","77,30","76,13","77,30","76,13","76,13","0,00","0,00","77,30","77,30","77,30","76,13"
12/05/2024,,"71,60","65,41","81,33","81,33","81,33","81,33","81,33","65,41","81,33","65,41","81,33","81,33","65,41","81,33","65,41","65,41","0,00","0,00","81,33","81,33","81,33","65,41"
