Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
11/03/2024,"33.404,611","0,000","567,080","2.264,368","0,000","0,000","4.650,780","0,000","0,000","20.767,959","593,696","3.568,823","0,000","4.094,804","765,000","0,000","0,000","0,000","58,000","112,500","113,029","0,000","37.556,039"
12/03/2024,"44.317,029","0,000","407,829","1.430,540","0,000","0,000","5.870,046","0,000","0,000","25.729,572","2.100,476","7.769,477","0,000","5.936,139","1.046,434","98,213","0,000","0,000","0,000","373,500","0,000","0,000","50.762,226"
13/03/2024,"37.759,398","0,000","1.034,085","2.304,265","0,000","0,000","5.118,574","0,000","0,000","25.522,076","721,013","2.549,654","0,000","3.846,731","791,927","52,200","0,000","0,000","0,000","247,500","67,333","0,000","42.255,358"
14/03/2024,"37.895,773","0,000","1.617,100","3.584,963","0,000","0,000","4.016,763","0,000","0,000","21.153,674","501,770","2.810,431","0,000","3.841,370","1.084,448","214,902","0,000","0,000","5,000","200,000","113,807","0,000","39.144,228"
15/03/2024,"39.097,121","0,000","950,543","2.661,945","0,000","0,000","9.768,221","0,000","0,000","14.978,469","296,446","7.669,191","0,000","4.035,906","470,000","4,800","0,000","0,000","77,405","226,043","106,302","0,000","41.245,271"
16/03/2024,"33.046,106","0,000","569,520","3.417,526","0,000","0,000","6.704,281","0,000","0,000","16.657,218","873,937","3.582,603","0,000","4.147,263","650,000","10,400","0,000","0,000","15,000","280,000","46,695","0,000","36.954,443"
17/03/2024,"22.035,711","0,000","453,189","1.369,357","0,000","0,000","3.625,242","0,000","0,000","10.130,484","476,899","3.622,336","0,000","4.046,963","545,498","2,600","0,000","0,000","147,000","315,000","0,000","0,000","24.734,568"
18/03/2024,"38.253,668","0,000","1.088,336","2.856,895","0,000","0,000","6.822,386","0,000","0,000","17.477,602","1.626,041","4.029,011","0,000","8.185,195","773,736","257,000","0,000","0,000","52,000","357,500","95,330","0,000","43.621,032"
19/03/2024,"38.536,643","0,000","812,706","2.547,414","0,000","0,000","5.563,581","0,000","0,000","25.992,077","816,878","4.600,825","0,000","6.772,326","375,000","25,479","0,000","0,000","52,000","151,000","137,262","0,000","47.846,548"
20/03/2024,"40.410,184","0,000","998,713","2.974,219","0,000","0,000","3.853,818","0,000","0,000","23.551,659","875,595","5.170,295","0,000","5.103,976","583,000","207,661","0,000","0,000","50,000","131,000","482,658","0,000","43.982,594"
